FybrrLink Path BW,FybrrLink Path latency,FFybrrLink Path PLR,FybrrLink Hops Count,FybrrLink Execution Time,FybrrLink AVG CD,Plane Dijkstra Path BW,Plane Dijkstra Path latency,Plane Dijkstra Path PLR, Plane Dijkstra Hops Count, Plane Dijkstr Execution Time (in ms),Plane Dijkstra AVG CD,SDRA Path BW,SDRA latency,SDRA PLR,SDRA Hops Count,SDRA Execution Time,SDRA avg CD,Sway Path BW,Sway latency,Sway PLR,Sway Hops Count,Sway Execution Time,Sway avg CD
664,114.495,0.0069734,7,15,0.701283,785,126.522,0.0044924,7,205,0.701685,816,128.32,0.00906502,9,775106,0.705107,814,58.0835,0.00209839,5,2071,0.699575
929,123.488,0.00638376,7,15,0.701332,777,89.5998,0.00459216,5,127,0.701734,679,125.617,0.00797295,8,17497,0.705199,865,55.3806,0.00189877,4,2089,0.69963
715,37.4959,0.00259856,2,10,0.701527,671,37.4959,0.00259856,2,22,0.701875,994,40.5243,0.00439301,4,1468,0.705528,663,37.4959,0.00259856,2,2505,0.699797
824,54.2579,0.00319713,3,11,0.701594,638,55.0551,0.00379544,3,43,0.701942,961,58.0835,0.00558774,5,5893,0.705697,860,53.0278,0.00289785,3,1638,0.699797
682,72.9645,0.00479173,4,13,0.701665,613,72.9645,0.00479173,4,82,0.702013,873,81.0486,0.00896565,8,2445526,0.705855,630,72.9645,0.00479173,4,2984,0.699827
684,17.5592,0.00189912,2,10,0.701804,786,73.8443,0.00419443,4,72,0.702151,684,17.5592,0.00189912,2,238,0.706237,684,17.5592,0.00189912,2,1747,0.699827
746,28.1426,0.00119989,2,12,0.701948,706,56.2851,0.00359659,3,41,0.70242,0,0,0,0,0,0.706453,764,26.4557,0.00339712,2,1342,0.700044
854,37.4959,0.0032973,2,10,0.702006,832,37.4959,0.0032973,2,25,0.702504,722,40.5243,0.00149925,4,1170,0.706453,883,37.4959,0.0032973,2,1127,0.700091
656,54.2579,0.0030973,3,11,0.702028,821,55.0551,0.00489202,3,80,0.702526,711,58.0835,0.00309685,5,5534,0.706513,926,54.2579,0.0030973,3,2227,0.700091
604,36.9222,0.00389532,3,13,0.702117,673,93.2073,0.00618604,5,104,0.702616,0,0,0,0,0,0.706732,731,33.5483,0.00439372,3,2893,0.700132
883,35.1184,0.00529023,4,13,0.702184,763,131.277,0.00916416,7,189,0.702723,883,35.1184,0.00529023,4,508,0.706732,883,35.1184,0.00529023,4,14329,0.700205
750,87.1251,0.00606578,7,16,0.702227,931,109.536,0.00638358,6,206,0.702796,899,78.3457,0.00827115,7,211573,0.706796,688,108.306,0.00857709,6,27041,0.700269
701,73.9558,0.00686723,7,16,0.70243,898,128.899,0.00817209,7,188,0.702973,377,63.4894,0.00876771,7,208997,0.707094,806,63.4894,0.00787502,7,2846,0.70039
688,79.0164,0.00239796,5,14,0.702653,786,107.159,0.00449272,6,175,0.703198,678,72.9398,0.00449278,5,2638,0.707432,877,110.436,0.00995847,7,25065,0.700733
720,71.2528,0.00678188,6,14,0.70335,616,128.326,0.00966068,7,190,0.70406,660,60.7865,0.00757646,6,36786,0.708506,770,60.7865,0.0057869,6,2125,0.701793
684,126.371,0.00800569,8,17,0.703543,862,91.9772,0.00489092,5,111,0.704286,508,95.9049,0.00638374,8,1315013,0.708788,690,89.95,0.00567659,5,1998,0.702077
623,125.617,0.00858857,8,17,0.703769,580,54.4814,0.00279811,3,49,0.704435,615,125.617,0.00638311,8,15308,0.709128,884,54.4814,0.00479251,3,2182,0.702156
481,88.9434,0.00319601,5,14,0.704885,643,91.4035,0.00429361,5,121,0.704888,445,93.2019,0.00598548,7,66099,0.710793,956,97.7086,0.00369435,8,27562,0.702565
456,72.0406,0.00179881,4,12,0.704992,618,72.0406,0.00179881,4,102,0.704996,420,72.9398,0.00429308,5,1737,0.711014,956,70.0134,0.00389476,4,8027,0.702796
822,8.10887,0.0017994,3,11,0.705068,829,109.536,0.00727804,6,159,0.705072,858,8.10887,0.0017994,3,255,0.711153,734,8.10887,0.0017994,3,2267,0.702877
434,96.503,0.00359473,6,14,0.705162,596,108.963,0.0046919,6,173,0.705248,398,110.761,0.00638308,8,248019,0.711294,818,75.6427,0.00638452,6,2357,0.703018
426,119.541,0.0101562,9,18,0.705203,796,74.418,0.00469186,4,69,0.705289,390,113.464,0.00837066,9,7473251,0.711375,655,74.418,0.0061859,4,1717,0.70308
662,116.167,0.0113435,10,19,0.706497,626,92.3275,0.00399397,5,108,0.705922,0,0,0,0,0,0.713326,662,92.3275,0.00399397,5,2472,0.703284
682,30.0578,0.00489137,4,13,0.709088,744,128.326,0.00767587,7,194,0.707393,915,25.6681,0.00439324,4,1222,0.713326,913,25.6681,0.00439324,4,1589,0.703284
799,74.1946,0.00389531,4,13,0.70913,648,74.1946,0.00389531,4,96,0.707462,421,81.0486,0.00926295,8,2410512,0.713391,830,74.1946,0.00389531,4,1914,0.703348
1337,17.3358,0.0008,1,8,0.709766,1337,17.3358,0.0018,1,23,0.708098,976,20.2622,0.00059992,2,329,0.715182,1337,17.3358,0.0008,1,1111,0.703348
825,10.8118,0.00379481,4,12,0.709819,933,131.277,0.00747657,7,188,0.708151,636,10.8118,0.00379481,4,270,0.715334,704,10.8118,0.00379481,4,1715,0.703348
720,44.2432,0.00568757,6,14,0.709915,908,148.262,0.00836974,8,215,0.708319,666,31.074,0.00419343,6,2759,0.715478,707,31.074,0.00419343,6,2232,0.703492
665,94.2178,0.0116406,9,18,0.710203,588,110.11,0.00548834,6,159,0.708695,251,68.8953,0.0113429,9,7631520,0.715911,660,111.009,0.00369467,7,22426,0.703925
693,105.132,0.0033957,6,14,0.710853,990,107.159,0.00499098,6,172,0.709122,305,108.058,0.00449197,7,7725,0.716902,701,72.9398,0.00528967,5,2425,0.70433
518,40.5242,0.00319683,4,12,0.711706,312,128.326,0.00528882,7,199,0.709976,553,38.8373,0.00329641,4,802,0.718371,897,38.8373,0.00329641,4,1772,0.705418
800,81.0486,0.00797281,8,116,0.712821,410,110.11,0.00707971,6,165,0.711843,611,81.0486,0.00886582,8,2122825,0.720074,679,81.0486,0.00886582,8,2255,0.707119
629,92.3275,0.00489142,5,14,0.712977,326,92.3275,0.00489142,5,110,0.711967,0,0,0,0,0,0.720312,657,101.311,0.00936907,9,25653,0.707356
